name                                license type      link                                                                      installed version  author
moment                              MIT               git+https://github.com/moment/moment.git                                  2.29.3             Iskren Ivov Chernev iskren.chernev@gmail.com https://github.com/ichernev
moment-timezone                     MIT               git+https://github.com/moment/moment-timezone.git                         0.5.34             Tim Wood washwithcare@gmail.com http://timwoodcreates.com/
node-sass                           MIT               git+https://github.com/sass/node-sass.git                                 6.0.1              Andrew Nesbitt andrewnez@gmail.com http://andrew.github.com
normalize.css                       MIT               git+https://github.com/necolas/normalize.css.git                          8.0.1
optimize-css-assets-webpack-plugin  MIT               git+ssh://git@github.com/NMFR/optimize-css-assets-webpack-plugin.git      6.0.1              Nuno Rodrigues
polyglot.js                         BSD-2-Clause      git://github.com/mreinstein/polyglot.js.git                               3.1.0              Spike Brehm spike@airbnb.com
popper.js                           MIT               git+https://github.com/FezVrasta/popper.js.git                            1.16.1             Federico Zivolo federico.zivolo@gmail.com
postcss                             MIT               git+https://github.com/postcss/postcss.git                                8.4.5              Andrey Sitnik andrey@sitnik.ru
postcss-cssnext                     MIT               git+https://github.com/MoOx/postcss-cssnext.git                           3.1.1              Maxime Thirouin
postcss-import                      MIT               git+https://github.com/postcss/postcss-import.git                         14.0.2             Maxime Thirouin
postcss-loader                      MIT               git+https://github.com/webpack-contrib/postcss-loader.git                 6.2.1              Andrey Sitnik andrey@sitnik.ru
postcss-nested                      MIT               git+https://github.com/postcss/postcss-nested.git                         5.0.6              Andrey Sitnik andrey@sitnik.ru
raw-loader                          MIT               git+https://github.com/webpack-contrib/raw-loader.git                     1.0.0              Tobias Koppers @sokra
react                               MIT               git+https://github.com/facebook/react.git                                 17.0.2
react-dom                           MIT               git+https://github.com/facebook/react.git                                 17.0.2
regenerator-runtime                 MIT               https://github.com/facebook/regenerator/tree/master/packages/runtime      0.13.9             Ben Newman bn@cs.stanford.edu
sass-loader                         MIT               git+https://github.com/webpack-contrib/sass-loader.git                    10.2.1             J. Tangelder
scriptjs                            MIT               git+https://github.com/ded/script.js.git                                  2.5.9              Dustin Diaz dustin@dustindiaz.com http://dustindiaz.com
scrollbooster                       MIT               git+https://github.com/ilyashubin/scrollbooster.git                       3.0.2              Ilya Shubin pixelwake@gmail.com
serve                               MIT               git+https://github.com/vercel/serve.git                                   12.0.1             leo
string-similarity                   ISC               git://github.com/aceakash/string-similarity.git                           4.0.4              Akash Kurdekar npm@kurdekar.com http://untilfalse.com/
style-loader                        MIT               git+https://github.com/webpack-contrib/style-loader.git                   0.23.1             Tobias Koppers @sokra
terser-webpack-plugin               MIT               git+https://github.com/webpack-contrib/terser-webpack-plugin.git          5.3.0              webpack Contrib Team
trumbowyg                           MIT               git+https://github.com/Alex-D/Trumbowyg.git                               2.25.1             Alexandre Demode contact@alex-d.fr Alex-D
underscore                          MIT               git://github.com/jashkenas/underscore.git                                 1.13.2             Jeremy Ashkenas jeremy@documentcloud.org
underscore-loader                   MIT               git+https://github.com/tomek-f/underscore-loader.git                      3.0.0              Tomek Fijoł tomekfijol@gmail.com http://tomekf.pl/
url-loader                          MIT               git+https://github.com/webpack-contrib/url-loader.git                     1.1.2              Tobias Koppers @sokra
webpack                             MIT               git+https://github.com/webpack/webpack.git                                5.65.0             Tobias Koppers @sokra
webpack-cli                         MIT               git+https://github.com/webpack/webpack-cli.git                            4.9.1
webpack-dotenv-plugin               MIT               git+https://github.com/nwinch/webpack-dotenv-plugin.git                   2.1.0              Nathan Winch nwinch@gmail.com
webpack-merge                       MIT               git+https://github.com/survivejs/webpack-merge.git                        5.8.0              Juho Vepsalainen bebraw@gmail.com
